Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),LIVING_UNIT1:Zone Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Air Relative Humidity [%](TimeStep),LIVING_UNIT1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Air Relative Humidity [%](TimeStep),CRAWLSPACE_UNIT1:Zone Air Relative Humidity [%](TimeStep),Whole Building:Facility Total Purchased Electricity Energy [J](TimeStep),Whole Building:Facility Total Surplus Electricity Energy [J](TimeStep),Whole Building:Facility Net Purchased Electricity Energy [J](TimeStep),DAYSOFWEEK:Schedule Value [](TimeStep),Electricity:Facility [J](TimeStep),Cooling:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Photovoltaic:ElectricityProduced [J](TimeStep),Cogeneration:ElectricityPurchased [J](TimeStep),Cogeneration:ElectricitySurplusSold [J](TimeStep) 
 01/21  00:05:00,3.8,100.0,0.0,0.0,20.0,37.58395155956738,20.0,23.0,100.0,47.592407746855567,591243.9709861156,0.0,591243.9709861156,2.0,591243.9709861156,0.0,507709.67271344407,0.0,591243.9709861156,0.0 
 01/21  00:10:00,3.8,100.0,0.0,0.0,20.0,37.593585181063378,20.0,23.0,100.0,47.59288636364571,592199.8432256795,0.0,592199.8432256795,2.0,592199.8432256796,0.0,508665.54495300797,0.0,592199.8432256795,0.0 
 01/21  00:15:00,3.8,100.0,0.0,0.0,20.0,37.6029206622398,20.0,23.0,100.0,47.59335913109698,593233.7480236839,0.0,593233.7480236839,2.0,593233.7480236839,0.0,509699.4497510123,0.0,593233.7480236839,0.0 
 01/21  00:20:00,3.8,100.0,0.0,0.0,20.0,37.611967230057668,20.0,23.0,100.0,47.593845077124608,594172.4885758554,0.0,594172.4885758554,2.0,594172.4885758553,0.0,510638.19030318377,0.0,594172.4885758554,0.0 
 01/21  00:25:00,3.8,100.0,0.0,0.0,20.000000000000005,37.6207338259096,20.0,23.0,100.0,47.594357375649909,595035.1776834175,0.0,595035.1776834175,2.0,595035.1776834175,0.0,511500.87941074589,0.0,595035.1776834175,0.0 
 01/21  00:30:00,3.8,100.0,0.0,0.0,20.0,37.629229114458549,20.0,23.0,100.0,47.59489310015269,595832.766239086,0.0,595832.766239086,2.0,595832.7662390862,0.0,512298.4679664145,0.0,595832.766239086,0.0 
 01/21  00:35:00,3.8,100.0,0.0,0.0,20.0,37.63746149220284,20.0,23.0,100.0,47.59544786024976,596573.6536309987,0.0,596573.6536309987,2.0,596573.6536309988,0.0,513039.3553583272,0.0,596573.6536309987,0.0 
 01/21  00:40:00,3.8,100.0,0.0,0.0,20.0,37.645439095776179,20.0,23.0,100.0,47.59592212001449,597167.01272822,0.0,597167.01272822,2.0,597167.0127282201,0.0,513632.71445554847,0.0,597167.01272822,0.0 
 01/21  00:45:00,3.8,100.0,0.0,0.0,20.0,37.65316980999067,20.0,23.0,100.0,47.59634222491287,597729.5880817474,0.0,597729.5880817474,2.0,597729.5880817474,0.0,514195.2898090758,0.0,597729.5880817474,0.0 
 01/21  00:50:00,3.8,100.0,0.0,0.0,20.0,37.66066127563091,20.0,23.0,100.0,47.596781363398637,598285.1383491311,0.0,598285.1383491311,2.0,598285.1383491312,0.0,514750.8400764596,0.0,598285.1383491311,0.0 
 01/21  00:55:00,3.8,100.0,0.0,0.0,20.000000000000005,37.66792089700679,20.0,23.0,100.0,47.59727320389847,598817.6818337485,0.0,598817.6818337485,2.0,598817.6818337485,0.0,515283.38356107685,0.0,598817.6818337485,0.0 
 01/21  01:00:00,3.8,100.0,0.0,0.0,19.999999999999998,37.6749580749057,20.0,23.0,100.0,47.59780603753956,599324.6463330627,0.0,599324.6463330627,2.0,599324.6463330628,0.0,515790.34806039117,0.0,599324.6463330627,0.0 
 01/21  01:05:00,3.8,100.0,0.0,0.0,20.000000000000005,37.68177308551907,20.0,23.0,100.0,47.59835937186473,599806.6502488584,0.0,599806.6502488584,2.0,599806.6502488584,0.0,516272.35197618688,0.0,599806.6502488584,0.0 
 01/21  01:10:00,3.8,100.0,0.0,0.0,20.0,37.68837934364721,20.0,23.0,100.0,47.598928816044168,600261.7435308221,0.0,600261.7435308221,2.0,600261.7435308222,0.0,516727.4452581506,0.0,600261.7435308221,0.0 
 01/21  01:15:00,3.8,100.0,0.0,0.0,20.0,37.694781153027637,20.0,23.0,100.0,47.59950851514033,600691.3305330748,0.0,600691.3305330748,2.0,600691.3305330749,0.0,517157.03226040329,0.0,600691.3305330748,0.0 
 01/21  01:20:00,3.8,100.0,0.0,0.0,20.0,37.70098484095501,20.0,23.0,100.0,47.600099933489939,601100.0043747805,0.0,601100.0043747805,2.0,601100.0043747805,0.0,517565.7061021089,0.0,601100.0043747805,0.0 
 01/21  01:25:00,3.8,100.0,0.0,0.0,20.0,37.70699653890228,20.0,23.0,100.0,47.600698679769987,601489.0555558193,0.0,601489.0555558193,2.0,601489.0555558194,0.0,517954.75728314786,0.0,601489.0555558193,0.0 
 01/21  01:30:00,3.8,100.0,0.0,0.0,20.000000000000005,37.712822188581338,20.0,23.0,100.0,47.601301826372999,601859.693564392,0.0,601859.693564392,2.0,601859.6935643919,0.0,518325.3952917204,0.0,601859.693564392,0.0 
 01/21  01:35:00,3.8,100.0,0.0,0.0,20.000000000000005,37.71846754781608,20.0,23.0,100.0,47.601909373486368,602213.0463833269,0.0,602213.0463833269,2.0,602213.0463833268,0.0,518678.74811065525,0.0,602213.0463833269,0.0 
 01/21  01:40:00,3.8,100.0,0.0,0.0,19.999999999999998,37.72394042476063,20.0,23.0,100.0,47.60251692929784,602550.1634723247,0.0,602550.1634723247,2.0,602550.1634723247,0.0,519015.86519965316,0.0,602550.1634723247,0.0 
 01/21  01:45:00,3.8,100.0,0.0,0.0,19.999999999999998,37.729241769620319,20.0,23.0,100.0,47.603123029786008,602872.0201113351,0.0,602872.0201113351,2.0,602872.0201113351,0.0,519337.7218386635,0.0,602872.0201113351,0.0 
 01/21  01:50:00,3.8,100.0,0.0,0.0,20.000000000000005,37.734376821064319,20.0,23.0,100.0,47.60372767488796,603179.5222361813,0.0,603179.5222361813,2.0,603179.5222361814,0.0,519645.2239635098,0.0,603179.5222361813,0.0 
 01/21  01:55:00,3.8,100.0,0.0,0.0,20.0,37.73935511453648,20.0,23.0,100.0,47.60432940047839,603473.5113585208,0.0,603473.5113585208,2.0,603473.5113585208,0.0,519939.21308584927,0.0,603473.5113585208,0.0 
 01/21  02:00:00,3.8,100.0,0.0,0.0,20.0,37.7441793415082,20.0,23.0,100.0,47.60492674235025,603754.7693628892,0.0,603754.7693628892,2.0,603754.7693628892,0.0,520220.4710902177,0.0,603754.7693628892,0.0 
 01/21  02:05:00,3.8,100.0,0.0,0.0,19.999999999999998,37.74885650001364,20.0,23.0,100.0,47.605519700317007,604024.0230741975,0.0,604024.0230741975,2.0,604024.0230741975,0.0,520489.72480152596,0.0,604024.0230741975,0.0 
